127.0.0.1, 2012-04-10 23:27:19, GET, /admin/static/edit_area/images/redo.gif, HTTP/1.1, 200, 0.000340
127.0.0.1, 2012-04-10 23:27:19, GET, /admin/static/edit_area/images/highlight.gif, HTTP/1.1, 200, 0.000595
127.0.0.1, 2012-04-10 23:27:19, GET, /admin/static/edit_area/images/reset_highlight.gif, HTTP/1.1, 200, 0.000426
127.0.0.1, 2012-04-10 23:27:19, GET, /admin/static/edit_area/images/word_wrap.gif, HTTP/1.1, 200, 0.000440
127.0.0.1, 2012-04-10 23:27:19, GET, /admin/static/edit_area/images/help.gif, HTTP/1.1, 200, 0.000527
127.0.0.1, 2012-04-10 23:27:19, GET, /admin/static/edit_area/images/statusbar_resize.gif, HTTP/1.1, 200, 0.000390
127.0.0.1, 2012-04-10 23:27:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000297
127.0.0.1, 2012-04-10 23:27:19, GET, /admin/static/edit_area/images/close.gif, HTTP/1.1, 200, 0.000319
127.0.0.1, 2012-04-10 23:27:19, GET, /admin/static/edit_area/images/move.gif, HTTP/1.1, 200, 0.000612
127.0.0.1, 2012-04-10 23:27:29, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.032935
127.0.0.1, 2012-04-10 23:27:31, POST, /admin/default/edit/first/controllers/default.py, HTTP/1.1, 200, 0.029575
127.0.0.1, 2012-04-10 23:27:44, GET, /admin/default/design/first, HTTP/1.1, 200, 0.079824
127.0.0.1, 2012-04-10 23:27:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000476
127.0.0.1, 2012-04-10 23:27:56, GET, /admin/default/peek/first/views/default/index.html, HTTP/1.1, 200, 0.034608
127.0.0.1, 2012-04-10 23:27:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000364
127.0.0.1, 2012-04-10 23:27:59, GET, /admin/default/edit/first/views/default/index.html, HTTP/1.1, 200, 0.037915
127.0.0.1, 2012-04-10 23:27:59, GET, /admin/static/edit_area/reg_syntax/html.js, HTTP/1.1, 200, 0.000451
